Date,ANC_all
7/12/2011,124.898
7/17/2011,159.22
7/18/2011,144.28
7/19/2011,143.67
7/24/2011,187.67
7/26/2011,144.1633333
7/30/2011,156.6
7/31/2011,158.68
8/9/2011,175.9333333
8/14/2011,169.175
8/15/2011,128.7
8/16/2011,108.22
8/17/2011,134.89
8/21/2011,157.175
8/23/2011,138.495
8/25/2011,162.2
8/26/2011,147.11
8/28/2011,86.16333333
8/29/2011,86.3
9/4/2011,131.75
9/5/2011,115.49
9/6/2011,101.72
9/7/2011,126.985
9/13/2011,124
9/14/2011,132.51
9/20/2011,130.5
9/27/2011,128.49
9/29/2011,109.262
9/30/2011,113.96
10/1/2011,113.23
10/2/2011,113.2733333
10/5/2011,122.57
10/11/2011,119.5
10/17/2011,119.78
10/20/2011,122.35
10/22/2011,125.08
10/24/2011,126.65
10/25/2011,123.56
11/2/2011,114.32
11/8/2011,124.5
11/15/2011,126.88
11/22/2011,131.71
11/23/2011,119.62
11/30/2011,82.615
12/6/2011,126.39
12/13/2011,126.73
12/15/2011,78.845
12/16/2011,77.32
12/20/2011,101.24
12/27/2011,106.26
2/7/2012,136.28
2/14/2012,140.34
2/21/2012,119.83
2/29/2012,112.33
3/6/2012,121.98
3/13/2012,78.085
3/18/2012,75.12
3/19/2012,72.355
3/20/2012,90.98
3/27/2012,98.01
4/3/2012,114.46
4/9/2012,91.83
4/10/2012,93.87
4/17/2012,124.31
4/21/2012,98.86
4/22/2012,99.89
4/23/2012,80.18333333
4/24/2012,98.05
5/1/2012,110.13
5/8/2012,88.095
5/9/2012,97.27
5/15/2012,98.58
5/16/2012,101.19
5/22/2012,117.4
5/29/2012,101.9316667
5/30/2012,125.045
6/2/2012,107.01
6/12/2012,130.89
6/19/2012,131.18
6/25/2012,121.078
6/26/2012,147.48
7/2/2012,144.175
7/3/2012,146.13
7/4/2012,92.18333333
7/5/2012,126.05
7/10/2012,142.81
7/15/2012,141.11
7/17/2012,141.52
7/18/2012,147.3
7/24/2012,108.8771429
7/31/2012,160.23
8/5/2012,173.1
8/9/2012,142.91
8/10/2012,93.35666667
8/13/2012,160.42
8/20/2012,161.2
8/28/2012,176.255
9/4/2012,168.64
9/5/2012,107.5042857
9/8/2012,147.7966667
9/10/2012,157.99
9/18/2012,89.645
9/25/2012,145.69
9/26/2012,144.55
9/27/2012,136.44
9/30/2012,138.7
10/1/2012,137.61
10/2/2012,143.45
10/4/2012,130.32
10/9/2012,146.1
10/10/2012,123.58
10/15/2012,126.7
10/17/2012,143.74
10/19/2012,112.81
10/20/2012,109.85
10/23/2012,134.97
10/30/2012,108.1716667
10/31/2012,104.045
11/6/2012,141.05
11/13/2012,104.395
11/20/2012,134.64
11/27/2012,134.15
12/2/2012,105.49
12/3/2012,112.68
12/4/2012,115.43
12/5/2012,106.9133333
12/10/2012,98.155
12/11/2012,105.64
12/19/2012,110.53
12/21/2012,101.575
12/24/2012,125.52
1/2/2013,128.25
1/8/2013,125.19
1/15/2013,109.81
1/22/2013,127.35
1/29/2013,127.56
2/5/2013,122.71
3/5/2013,130.6
3/12/2013,81.785
3/13/2013,100.89
4/2/2013,107.75
4/15/2013,105.3733333
4/16/2013,74.54
4/17/2013,77.94
4/18/2013,88.95
4/19/2013,59.305
4/20/2013,106.86
4/21/2013,95.47
4/22/2013,94.37
4/23/2013,97.24
4/24/2013,85.2
4/25/2013,90.695
4/26/2013,103.11
5/7/2013,120.58
5/21/2013,95.73
5/25/2013,95.23
6/1/2013,116.03
6/2/2013,118.95
6/4/2013,125.96
6/11/2013,86.05666667
6/25/2013,84.51666667
7/1/2013,80.275
7/2/2013,87.755
7/23/2013,111.3
7/29/2013,97.73
8/6/2013,150.24
9/4/2013,150.85
9/12/2013,112.3
9/13/2013,75.78666667
9/22/2013,109.825
10/1/2013,144
10/7/2013,129.6
10/8/2013,127.95
10/31/2013,123.11
11/1/2013,102.3166667
11/5/2013,125.54
11/18/2013,108.82
12/3/2013,127.77
1/8/2014,108.58
2/4/2014,123.81
3/4/2014,128.02
4/1/2014,123.92
4/13/2014,90.82
4/14/2014,58.355
4/15/2014,55.31
4/16/2014,70.87
5/6/2014,97.68
5/24/2014,91.7
6/3/2014,121.65
6/12/2014,113.67
6/17/2014,135.68
6/18/2014,139.16
6/24/2014,144.59
6/25/2014,124.82
7/2/2014,141.91
7/3/2014,71.8
7/4/2014,121.285
7/13/2014,142.94
7/14/2014,138.965
7/16/2014,113.96
7/23/2014,83.38
7/27/2014,142.61
7/28/2014,116.085
8/5/2014,165.47
8/13/2014,123.8128571
9/1/2014,169.68
10/4/2014,131.06
10/6/2014,146.44
10/8/2014,121.4166667
10/16/2014,121.54
10/18/2014,124.28
10/23/2014,111.4066667
10/25/2014,131.4
10/26/2014,127.19
11/4/2014,147.75
11/24/2014,115.3833333
11/25/2014,92.56
12/2/2014,132.37
1/6/2015,121.71
1/14/2015,121.5
1/26/2015,126.3
2/3/2015,134.69
3/3/2015,134.94
3/25/2015,140.49
4/7/2015,125.22
4/12/2015,98.99
4/13/2015,73.335
4/14/2015,79.215
4/16/2015,101.62
4/18/2015,74.875
4/19/2015,70.17
4/21/2015,70.805
4/22/2015,74.6025
4/23/2015,85.105
